SAMPLE,X,Y,AG,PB,DOMAIN
1,11,8,,0,2
2,8,30,,0,2
3,9,48,,2.244,2
4,8,69,,4.344,2
5,9,90,,4.121,2
6,10,110,,5.872,2
7,9,129,,1.923,2
8,11,150,,0.313,2
9,10,170,,3.885,2
10,8,188,,1.746,2
11,9,209,,1.878,2
12,10,231,,0.821,1
13,11,250,,0.811,1
14,10,269,,1.243,2
15,8,288,,1.88,2
16,31,11,,0.287,2
17,29,29,,0.781,2
18,28,51,,2.921,2
19,31,68,,8.952,2
20,28,88,,7.026,2
21,30,110,,4.9003,2
22,28,130,,1.361,2
23,28,150,,3.35,2
24,30,171,,2.77,2
25,28,190,,2.061,2
26,31,209,,0.245,2
27,28,229,,1.981,2
28,30,250,,0.6003,2
29,31,269,,3.126,2
30,31,289,,2.4009,2
31,49,11,,6.533,2
32,49,29,,0.964,2
33,51,48,,1.05,2
34,49,68,,0.378,2
35,50,88,,8.2008,2
36,51,109,,4.5007,2
37,48,129,,1.9004,2
38,49,151,,7.733,2
39,51,168,,9.719,2
40,48,190,,7.624,2
41,50,211,,9.683,2
42,49,231,,3.947,2
43,51,250,,3.43,2
44,50,268,,8.638,2
45,51,290,,1.596,1
46,71,9,,4.458,2
47,71,29,,6.733,2
48,70,51,,2.526,2
49,68,70,,5.375,2
50,69,90,,0,2
51,68,110,,3.291,2
52,68,128,,6.463,2
53,69,148,,6.162,2
54,69,169,,7.613,2
55,70,191,,9.18,2
56,69,208,,0.974,1
57,69,229,,0,1
58,68,250,,0,1
59,71,268,0,,1
60,71,288,,0.024,1
61,91,11,,3.683,2
62,91,29,,0.916,2
63,90,49,,6.547,2
64,91,68,,6.455,2
65,91,91,,9.072,2
66,91,111,,8.263,2
67,89,130,,9.753,2
68,88,149,,5.511,2
69,89,170,,1.555,1
70,89,188,,0.1007,1
71,90,211,,0,1
72,90,230,,0,1
73,88,249,,0,1
74,88,269,,0.121,1
75,88,288,,0.622,1
76,109,11,,3.996,2
77,111,31,,1.766,2
78,108,49,,4.02,2
79,109,68,,2.6006,2
80,108,88,,1.92,2
81,110,109,,2.376,2
82,109,129,,7.02,2
83,110,148,,0.385,2
84,111,169,,0.221,1
85,111,191,,0.027,1
86,110,208,,0.179,1
87,109,230,,1.742,2
88,109,249,,0.129,2
89,109,268,,1.878,2
90,111,291,,2.688,2
91,130,9,,5.725,2
92,131,31,,0.291,2
93,130,48,,0.752,2
94,128,70,,3.999,2
95,129,90,,2.431,2
96,131,109,,0,2
97,129,128,,2.447,2
98,131,148,,1.852,2
99,131,169,,0.26,1
100,129,191,,0,1
101,128,209,,1.0003,1
102,130,231,,5.3003,2
103,131,248,,1.074,2
104,128,269,,1.593,2
105,131,288,,0.7007,2
106,148,8,,2.6002,2
107,149,29,,3.26,2
108,150,49,,3.327,2
109,151,69,,5.313,2
110,150,89,,5.472,2
111,150,109,,4.827,2
112,150,129,,0.841,2
113,150,151,,0.047,2
114,149,169,,1.8006,2
115,151,190,,0,1
116,148,208,,3.424,2
117,150,228,,6.023,2
118,149,251,,2.091,2
119,149,271,,0.794,2
120,148,291,,1.041,2
121,168,8,,4.46,2
122,171,29,,1.899,2
123,169,49,,2.8004,2
124,168,69,,0,1
125,168,91,,4.993,2
126,171,109,,4.573,2
127,168,131,,3.412,2
128,171,150,,0,2
129,171,171,,2.083,2
130,169,191,,0.997,1
131,170,210,,6.366,2
132,170,230,,1.731,2
133,169,249,,0.17,2
134,168,271,,2.831,2
135,168,290,,0.3009,1
136,190,11,,3.485,2
137,191,28,,2.224,2
138,191,48,,0.591,2
139,190,69,,0,1
140,190,89,,3.26,2
141,188,111,,3.251,2
142,191,129,,1.147,2
143,189,149,,4.816,2
144,190,169,,3.241,2
145,190,189,,0.1009,1
146,188,210,,3.329,2
147,191,231,,1.844,2
148,190,248,,1.466,2
149,189,270,,0.92,1
150,189,290,,0.025,1
151,211,11,,3.581,2
152,209,30,,4.733,2
153,211,49,,3.088,2
154,210,70,,4.068,2
155,209,90,,8.121,2
156,210,111,,3.397,2
157,211,130,,2.239,2
158,208,151,,6.735,2
159,209,168,,1.41,2
160,208,191,,0.618,1
161,210,211,,2.583,2
162,211,228,,5.9003,2
163,211,250,,1.669,2
164,208,268,,1.252,2
165,208,289,,0.293,1
166,231,10,,6.176,2
167,231,28,,4.259,2
168,230,50,,2.957,2
169,230,71,,2.249,2
170,229,91,,0.317,1
171,229,110,,3.774,2
172,230,131,,3.333,2
173,228,148,,3.51,2
174,229,169,,0,1
175,231,191,,1.376,2
176,231,208,,4.512,2
177,229,228,,6.395,2
178,231,249,,1.199,2
179,231,268,,0.272,1
180,230,291,,0.021,1
181,249,9,,1.677,2
182,250,30,,1.478,2
183,249,48,,4.427,2
184,251,69,,4.877,2
185,251,91,,0,1
186,248,109,,0.282,1
187,249,130,,0,1
188,248,150,,0.183,1
189,250,169,,2.663,2
190,250,190,,5.023,2
191,251,208,,0,2
192,251,229,,2.4009,2
193,249,251,,2.344,2
194,248,270,,0.224,1
195,250,291,,0.456,1
196,40,71,1.1,0.762,2
197,21,69,7.8,2.843,2
198,28,80,105.3,6.068,2
199,29,59,1512.7,7.727,2
200,41,81,9.8,2.695,2
201,18,80,860.04,10.367,2
202,39,60,12.7,2.386,2
203,18,60,177.1,5.194,2
204,41,90,23.4,4.149,2
205,21,90,173.1,6.014,2
206,31,101,296.5,5.792,2
207,41,100,300.06,6.014,2
208,21,100,229.7,5.946,2
209,60,8,258.3,5.5001,2
210,40,11,2.2,0.994,2
211,51,18,14.2,2.336,2
212,59,20,0.01,0.144,2
213,41,21,3.1,1.159,2
214,59,90,126.9,5.062,2
215,51,101,73.8,5.024,2
216,50,81,210.07,6.08,2
217,59,101,30.04,3.639,2
218,60,81,50.03,3.856,2
219,60,151,3691.8,15.211,2
220,38,148,50,3.4009,2
221,50,160,474.2,8.791,2
222,50,138,83,4.134,2
223,61,158,983.8,8.689,2
224,39,160,217.8,6.574,2
225,61,139,71.5,4.77,2
226,38,140,26.2,2.685,2
227,61,170,301.1,8.064,2
228,39,170,1548.5,9.144,2
229,49,179,234.9,8.115,2
230,58,179,2154.7,11.136,2
231,39,181,3637.4,10.08,2
232,60,191,1930.09,15.281,2
233,40,190,1391.1,9.7009,2
234,51,198,1660.08,11.09,2
235,60,198,1813.7,12.039,2
236,40,200,249.1,6.413,2
237,58,208,1160.01,7.2006,2
238,38,209,547.8,6.653,2
239,50,221,1066.6,5.433,2
240,61,220,59.5,1.011,1
241,39,221,420.09,6.159,2
242,59,268,1714.2,5.431,2
243,41,271,828.7,8.688,2
244,49,278,1788.8,5.83,2
245,51,260,3738.9,6.7007,2
246,59,281,675,1.488,1
247,39,279,1182.1,7.98,2
248,59,258,983.3,1.949,1
249,38,260,766.6,6.352,2
250,78,28,565.4,7.816,2
251,60,29,12.7,2.386,2
252,70,41,84.9,4.72,2
253,70,21,0.03,0.581,2
254,78,41,124.6,6.0003,2
255,61,41,0.08,0.649,2
256,78,20,70,5.059,2
257,80,131,421.1,8.016,2
258,58,128,4.3,1.588,2
259,71,140,175.1,6.063,2
260,70,121,0,0.3007,2
261,79,138,1694.5,7.3001,2
262,80,119,35.1,4.212,2
263,61,121,1.8,1.048,2
264,79,149,0,0.441,2
265,71,160,2535,8.011,2
266,78,159,3371.5,7.42,2
267,80,168,634.6,6.891,2
268,69,181,762.6,4.246,2
269,79,181,241.7,1.843,2
270,80,188,431.1,2.452,2
271,70,198,1992.1,6.3,2
272,81,200,0,0,1
273,100,48,0,0.487,2
274,80,49,473.8,7.574,2
275,90,58,280.02,7.398,2
276,88,39,76.8,5.2007,2
277,100,60,0,0,2
278,80,59,0,0,2
279,101,38,464,7.3005,2
280,101,68,97.8,3.831,2
281,79,70,103.9,5.088,2
282,90,79,138.3,5.733,2
283,100,78,70.09,3.724,2
284,81,81,197.2,5.858,2
285,100,91,38.9,3.972,2
286,80,89,192.3,6.145,2
287,91,99,159.6,7.349,2
288,101,100,539.3,5.993,2
289,81,98,1.3,1.812,2
290,98,111,1987,7.448,2
291,81,108,643,10.223,2
292,90,120,1290.03,8.993,2
293,100,118,20.05,3.637,2
294,98,130,263.9,5.132,2
295,90,140,2147.5,6.488,2
296,90,138,1927.1,6.454,2
297,121,131,0.02,0.13,2
298,111,140,48.8,1.9003,2
299,108,121,3070.09,8.93,2
300,120,141,14.6,1.047,2
301,119,118,16.9,1.5004,2
302,158,228,551.6,5.584,2
303,140,229,513.9,5.58,2
304,150,241,129.2,3.185,2
305,151,218,239.2,3.943,2
306,161,241,8.6,1.419,2
307,141,240,4.6,1.125,2
308,160,218,1118.7,5.8004,2
309,139,220,445.7,5.359,2
310,178,211,561.8,3.982,2
311,159,209,148.8,5.173,2
312,169,221,197.2,4.272,2
313,170,198,1429.8,3.676,2
314,180,218,77.5,3.747,2
315,178,201,81.3,1.448,2
316,158,198,154.5,1.698,2
317,219,88,136.9,2.351,2
318,198,90,735.8,6.117,2
319,211,100,710.06,7.464,2
320,208,80,495.8,4.366,2
321,221,99,586.8,5.4009,2
322,199,98,1419,8.01,2
323,220,81,177.3,2.721,2
324,198,78,86,2.041,2
325,220,150,675,5.439,2
326,200,150,381.1,6.062,2
327,208,159,280.04,3.56,2
328,210,140,330.03,4.4009,2
329,221,160,365.6,3.018,2
330,198,161,154.5,3.694,2
331,219,139,24.5,1.668,2
332,200,139,42.2,2.3009,2
333,239,8,80.02,2.4003,2
334,218,8,1373.4,7.371,2
335,229,19,147.7,5.186,2
336,239,18,186.7,3.9007,2
337,218,18,1429.7,7.974,2
338,238,229,1510.09,6.026,2
339,218,228,265.2,4.3008,2
340,231,239,478,3.541,2
341,230,221,538.9,6.024,2
342,240,239,51.9,1.726,2
343,221,241,290.09,3.248,2
344,239,220,398.3,4.2001,2
345,218,218,1236.7,7.635,2
346,35,71,486.8,6.878,2
347,24,71,463.9,7.358,2
348,34,88,0.01,0.869,2
349,23,91,708.8,8.17,2
350,54,10,349.4,6.379,2
351,46,11,392,5.123,2
352,55,89,21.2,4.234,2
353,45,89,62.8,5.696,2
354,53,150,873,8.58,2
355,46,148,7.5,2.34,2
356,55,168,288.1,8.76,2
357,43,170,1174.9,10.828,2
358,55,191,1004.7,13.926,2
359,44,191,76.8,6.466,2
360,55,211,938.8,8.895,2
361,46,211,429.7,5.092,2
362,54,269,2922.4,6.131,2
363,43,271,198.1,7.678,2
364,73,29,231.7,6.494,2
365,64,31,10.08,2.354,2
366,75,129,639.3,7.828,2
367,64,129,8.6,2.273,2
368,73,149,696.1,7.229,2
369,64,151,664.1,9.745,2
370,75,171,144.8,5.122,2
371,63,168,1446.1,12.158,2
372,73,188,2351.5,6.871,2
373,64,191,1257.6,12.599,2
374,93,48,373.2,6.875,2
375,86,48,31.8,4.719,2
376,93,70,196.1,5.121,2
377,84,69,1210,9.639,2
378,93,90,1031.3,8.74,2
379,86,89,117,5.824,2
380,96,111,360.05,5.532,2
381,85,108,1495.5,9.373,2
382,93,131,1336.8,8.836,2
383,86,131,965.3,8.799,2
384,114,131,104.4,2.684,2
385,106,130,1957.7,6.515,2
386,155,229,88.2,3.864,2
387,145,230,63.5,3.332,2
388,174,208,335,3.392,2
389,166,211,647.6,6.0003,2
390,215,89,1457,5.952,2
391,205,89,955.8,8.096,2
392,215,148,67.7,2.933,2
393,204,151,444.5,6.973,2
394,236,9,1593.8,5.159,2
395,223,9,277.6,6.132,2
396,236,229,1962,6.653,2
397,226,230,2279.8,8.136,2
398,35,80,2,1.748,2
399,24,79,635.7,8.918,2
400,36,61,1547.8,6.996,2
401,26,58,0.03,0.395,2
402,16,80,634.8,9.156,2
403,43,60,97.4,5.84,2
404,15,88,319.3,6.1,2
405,46,99,100.02,5.668,2
406,36,99,0,0.381,2
407,54,80,105,4.83,2
408,46,81,138.6,5.426,2
409,54,161,466.7,9.593,2
410,43,161,261.1,6.319,2
411,65,160,2252.5,9.283,2
412,33,160,48.6,4.31,2
413,36,170,605.5,6.723,2
414,53,179,425.4,10.034,2
415,44,180,937.8,8.764,2
416,65,181,589.3,7.341,2
417,34,180,110.02,3.66,2
418,33,191,79.1,2.965,2
419,55,199,376.4,10.692,2
420,46,198,674.6,8.043,2
421,63,201,1363.3,7.311,2
422,34,201,79.6,3.181,2
423,65,210,488.3,2.386,2
424,35,208,161.2,4.289,2
425,46,220,1236.1,7.344,2
426,36,219,152.3,4.291,2
427,35,217,397,5.974,2
428,53,258,1696.4,4.426,2
429,46,260,779.8,7.652,2
430,45,281,934.8,6.055,2
431,35,278,1588.3,7.959,2
432,35,259,18.9,2.35,2
433,84,30,85.3,5.62,2
434,84,41,34,4.114,2
435,75,40,356.2,6.967,2
436,73,141,607.3,7.9009,2
437,63,140,357.8,6.965,2
438,84,138,893.4,6.873,2
439,76,159,997.3,5.975,2
440,84,161,387.2,4.374,2
441,86,169,761.7,3.174,2
442,73,199,5190.01,4.7007,2
443,76,51,101.8,4.987,2
444,94,61,1354,7.787,2
445,85,60,117.5,5.233,2
446,104,38,200.02,6.171,2
447,93,41,28.4,3.955,2
448,75,90,113,5.189,2
449,94,101,12.9,3.837,2
450,85,100,126,7.041,2
451,104,109,908.6,5.623,2
452,75,110,349,6.553,2
453,95,121,548.4,8.236,2
454,83,119,701.4,8.477,2
455,94,140,723.2,6.075,2
456,103,139,565.3,4.912,2
457,114,120,154.2,3.195,2
458,104,118,289.2,5.94,2
459,196,91,254.1,4.335,2
460,215,101,4,2.096,2
461,204,101,127.3,5.338,2
462,196,101,419.4,5.924,2
463,195,149,141.9,4.787,2
464,216,11,1424.8,6.6002,2
465,225,19,512.2,8.322,2
466,214,19,15.6,2.425,2
467,245,231,26.1,1.612,2
468,233,220,959.7,6.26,2
469,226,221,1681.5,8.0001,2
470,213,218,476.2,4.826,2
